Team,ELO
M'gladbach,1597.4129950228837
Augsburg,1547.486856706081
Freiburg,1606.57867023609
Hoffenheim,1679.220057024337
Mainz,1552.1919264664064
RB Leipzig,1727.0065778248963
Dortmund,1785.8191208780968
Wolfsburg,1538.5618952335826
St Pauli,1436.6452230096593
Union Berlin,1561.2579616283883
Bochum,1487.9523258710803
Ein Frankfurt,1617.079139066671
Holstein Kiel,1412.9942567344203
Stuttgart,1564.9134389405933
Werder Bremen,1553.8706200245738
Leverkusen,1684.5297657466751
Heidenheim,1506.095146220343
Bayern Munich,1894.990242768727
Darmstadt,1557.3328687061019
FC Koln,1532.5335585595876
Hertha,1495.531961368505
Schalke 04,1560.8662893305252
Bielefeld,1459.6805398039696
Greuther Furth,1425.1039751029887
Fortuna Dusseldorf,1467.7508860582052
Paderborn,1517.6837952755036
Hamburg,1503.496212827996
Hannover,1502.140584986787
Karlsruhe,1437.4764487644422
Magdeburg,1383.944343254065
Ulm,1351.9417747515918
Kaiserslautern,1443.734099676826
Regensburg,1408.377582417181
Elversberg,1513.9126647180585
Nurnberg,1421.3645505007528
Braunschweig,1368.113669571465
Preußen Münster,1391.112846976068
Osnabruck,1392.2370113565537
Wehen,1353.3323401555574
Hansa Rostock,1416.7923018987651
Sandhausen,1419.4088556569639
Dresden,1387.7004884002345
Ingolstadt,1275.6516006907132
Erzgebirge Aue,1428.676728395296
Wurzburger Kickers,1303.3974919099926
Man United,1562.1319754064768
Ipswich,1327.8276608346698
Arsenal,1622.1511559806531
Everton,1540.5015138304611
Newcastle,1548.501198778573
Nott'm Forest,1508.3479628825332
West Ham,1530.0402330414172
Brentford,1527.0527785618108
Chelsea,1570.8960621416834
Leicester,1532.8624524090922
Brighton,1531.715279377394
Crystal Palace,1539.8523023763719
Fulham,1531.6704697481111
Man City,1624.9718649111694
Southampton,1475.8264797807085
Tottenham,1542.1242708101015
Aston Villa,1566.162934782281
Bournemouth,1537.2559863338663
Wolves,1511.3788714758282
Liverpool,1589.0065623326036
Burnley,1482.6047726245679
Sheffield United,1479.2578047788256
Luton,1486.928635717052
Leeds,1513.6370851642787
Watford,1458.0408450348502
Norwich,1294.6030263458001
West Brom,1379.403024217008
Huddersfield,1240.113307751439
Cardiff,1391.2930185681719
Sunderland,1553.8404640022025
Le Havre,1448.7398183958312
Brest,1516.8512046554365
Reims,1520.8507919335802
Monaco,1595.1741851454112
Auxerre,1422.2782780881025
Angers,1488.01692921378
Montpellier,1521.1576768288926
Toulouse,1426.3286240845257
Rennes,1610.5710694711213
Paris SG,1759.8847346372845
Lyon,1601.1722668771658
Lille,1615.1723398661952
St Etienne,1443.4755025992863
Lens,1650.325014736897
Nantes,1414.2258893087705
Nice,1479.2217171258926
Strasbourg,1535.6697390137067
Marseille,1634.0494389797218
Clermont,1453.5440176798654
Metz,1395.6451422828754
Lorient,1514.3247470255565
Ajaccio,1329.1420110999366
Troyes,1420.489000819871
Bordeaux,1486.0418968313281
Dijon,1412.1243109702782
Nimes,1420.4045695766702
Amiens,1408.0508414683102
Paris FC,1477.0682412837039
Genoa,1488.1265797292
Parma,1498.2828105089714
Empoli,1475.4687390281902
Milan,1721.702296740353
Bologna,1507.1458832563994
Verona,1426.594547327989
Cagliari,1474.0798877414238
Lazio,1596.9160961716657
Lecce,1438.728991326391
Juventus,1678.5150667162472
Udinese,1504.615641084014
Inter,1782.4814953242237
Monza,1523.0316705162907
Fiorentina,1488.2995815570564
Torino,1459.7464433184152
Napoli,1674.2913452681014
Roma,1631.1929456568894
Venezia,1382.7858562106844
Como,1635.662626665965
Atalanta,1665.9594297523015
Frosinone,1434.6527125115829
Sassuolo,1552.711678242076
Salernitana,1439.8025150166513
Sampdoria,1476.8940054499733
Spezia,1453.8180695211793
Cremonese,1407.5022292674432
Crotone,1328.169669102795
Benevento,1403.3193901064446
Spal,1265.9161330935137
Brescia,1330.0484520340542
Pisa,1353.5372117535148
Ath Bilbao,1494.2191028634575
Betis,1539.2731750549356
Celta,1520.562905938889
Las Palmas,1417.7439642778734
Osasuna,1507.7895105528603
Valencia,1498.5052529146672
Sociedad,1536.576930157943
Mallorca,1416.2241915004229
Valladolid,1441.9611988131942
Villarreal,1612.1646444669927
Sevilla,1545.4686666816265
Barcelona,1742.3455468413872
Espanol,1435.237076353199
Getafe,1502.3274036898565
Real Madrid,1754.2071542297595
Leganes,1456.5328899457306
Alaves,1419.108066171879
Ath Madrid,1666.4893544688607
Vallecano,1471.384508999468
Girona,1512.1698290002664
Almeria,1429.1892841147546
Cadiz,1468.5202927749995
Granada,1510.1406746573084
Elche,1422.9933615795467
Levante,1438.399110222883
Eibar,1441.1731068103677
Huesca,1419.5300442240025
Oviedo,1356.3076386373366
Galatasaray,1694.6737797589228
Kasimpasa,1460.9748594703806
Antalyaspor,1474.5465216243201
Fenerbahce,1681.7167322151586
Sivasspor,1594.9899613631983
Alanyaspor,1525.3656707000193
Samsunspor,1509.7797080605203
Bodrumspor,1474.6152045657025
Rizespor,1477.1865265628385
Konyaspor,1468.2674649158716
Kayserispor,1436.8378481687685
Ad. Demirspor,1540.5582976643564
Goztep,1538.790540761063
Buyuksehyr,1624.5720926381487
Besiktas,1651.5872342055434
Gaziantep,1502.2874581413212
Eyupspor,1474.8969594349928
Hatayspor,1509.3448073991833
Trabzonspor,1682.4499303574466
Pendikspor,1429.5468792114943
Karagumruk,1445.6821191896715
Istanbulspor,1414.2004313445975
Ankaragucu,1433.224968459075
Giresunspor,1475.555640193084
Umraniyespor,1386.6831359149712
Altay,1391.6729918723677
Yeni Malatyaspor,1395.185330643205
Genclerbirligi,1443.1458613284362
Denizlispor,1393.452110424694
Erzurum BB,1435.6559644987108
Kocaelispor,1532.552968911936
Bayern,1526.098309481802
Atletico,1523.455114055534
